Burn-In Test,Logger Rev-1.0
Operator,ddenoff
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161012_0056
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
1:31:20.435 AM 10/12/2016,0.577784,3.024765,-0.080117,-38.215891,-32.176218,23.232238
1:31:40.433 AM 10/12/2016,0.583339,2.404719,-0.815272,-39.202498,-33.218129,23.122475
1:32:00.439 AM 10/12/2016,0.588896,1.763502,-1.462349,-40.023826,-34.297542,23.223268
1:32:20.443 AM 10/12/2016,0.594453,1.123154,-2.163366,-40.926194,-35.523956,23.211165
1:32:40.441 AM 10/12/2016,0.600008,0.529969,-2.752315,-41.793984,-36.036068,23.219678
1:33:00.431 AM 10/12/2016,0.605560,-0.088198,-3.420768,-42.630956,-37.076138,23.309473
1:33:20.433 AM 10/12/2016,0.611117,-0.734536,-4.093944,-43.366445,-37.559402,23.325251
1:33:40.433 AM 10/12/2016,0.616672,-1.341334,-4.793075,-44.288571,-38.923175,23.210704
1:34:00.434 AM 10/12/2016,0.622228,-2.001162,-5.367010,-45.156978,-39.591481,23.188692
1:34:20.439 AM 10/12/2016,0.627785,-2.597438,-6.025872,-46.009379,-40.537452,23.248335
1:34:40.440 AM 10/12/2016,0.633341,-3.271550,-6.682694,-46.747470,-41.114471,23.219881
1:35:00.441 AM 10/12/2016,0.638897,-3.893468,-7.440576,-47.503550,-41.672583,23.191322
1:35:20.435 AM 10/12/2016,0.644450,-4.552585,-8.146541,-48.378289,-43.217015,23.218320
1:35:40.419 AM 10/12/2016,0.650002,-5.197697,-8.707033,-47.767505,-43.075079,23.227229
1:36:00.431 AM 10/12/2016,0.655561,-5.665440,-9.211500,-45.238690,-41.629616,23.335476
1:36:20.431 AM 10/12/2016,0.661116,-6.280462,-9.860501,-46.907717,-42.564325,23.422708
1:36:40.432 AM 10/12/2016,0.666672,-6.859391,-10.535594,-48.864818,-44.054360,23.487759
1:37:00.433 AM 10/12/2016,0.672228,-7.435284,-11.083194,-48.073773,-44.135816,23.523264
1:37:20.434 AM 10/12/2016,0.677783,-7.898222,-11.592251,-45.826735,-42.680760,23.437111
1:37:40.434 AM 10/12/2016,0.683339,-8.492447,-12.219093,-48.072452,-44.213946,23.470214
1:38:00.432 AM 10/12/2016,0.688894,-9.087557,-12.776062,-49.599938,-45.099963,23.509577
1:38:20.432 AM 10/12/2016,0.694450,-9.576014,-13.189622,-46.718040,-43.826199,23.610496
1:38:40.432 AM 10/12/2016,0.700005,-10.080024,-13.739898,-47.659540,-44.376584,23.554338
1:39:00.433 AM 10/12/2016,0.705561,-10.619650,-14.394069,-49.914625,-46.157549,23.443426
1:39:20.430 AM 10/12/2016,0.711116,-11.118841,-14.784117,-47.868434,-44.887865,23.475766
1:39:40.430 AM 10/12/2016,0.716671,-11.572558,-15.224950,-47.154011,-44.723553,23.438799
1:40:00.437 AM 10/12/2016,0.722229,-12.135817,-15.849210,-50.043451,-46.718926,23.374190
1:40:20.431 AM 10/12/2016,0.727783,-12.590224,-16.301242,-48.161565,-45.660003,23.325448
1:40:40.432 AM 10/12/2016,0.733339,-13.065513,-16.768747,-47.424858,-45.412574,23.258872
1:41:00.417 AM 10/12/2016,0.738890,-13.595576,-17.361592,-50.507835,-47.402023,23.256736
1:41:20.419 AM 10/12/2016,0.744446,-14.049229,-17.739721,-48.499210,-46.023901,23.190652
1:41:40.434 AM 10/12/2016,0.750006,-14.476427,-18.163886,-47.804489,-45.770889,23.259617
1:42:00.440 AM 10/12/2016,0.755563,-14.994891,-18.693351,-50.821729,-47.766813,23.196256
1:42:20.441 AM 10/12/2016,0.761119,-15.393066,-19.086047,-48.868379,-46.633715,23.251874
1:42:40.420 AM 10/12/2016,0.766669,-15.769317,-19.454819,-47.407106,-45.825793,23.312597
1:43:00.423 AM 10/12/2016,0.772225,-16.287917,-19.965552,-50.495860,-48.074118,23.212756
1:43:20.434 AM 10/12/2016,0.777784,-16.740412,-20.392800,-49.769584,-47.489123,23.215475
1:43:40.432 AM 10/12/2016,0.783339,-17.123036,-20.727204,-48.104226,-46.528442,23.219078
1:44:00.434 AM 10/12/2016,0.788895,-17.531212,-21.204284,-49.874135,-47.839899,23.275248
1:44:20.421 AM 10/12/2016,0.794447,-18.011082,-21.572302,-49.696058,-47.690713,23.254117
1:44:40.434 AM 10/12/2016,0.800006,-18.328661,-21.867246,-48.007990,-46.445949,23.197248
1:45:00.432 AM 10/12/2016,0.805561,-18.789028,-22.298829,-49.713896,-47.577469,23.318019
1:45:20.433 AM 10/12/2016,0.811117,-19.238943,-22.701452,-50.974276,-48.628510,23.289700
1:45:40.433 AM 10/12/2016,0.816672,-19.586869,-23.093162,-48.760593,-47.384357,23.192821
1:46:00.432 AM 10/12/2016,0.822228,-19.966086,-23.494198,-48.808682,-47.551049,23.251877
1:46:20.435 AM 10/12/2016,0.827784,-20.412301,-23.866720,-50.943902,-48.763784,23.163307
1:46:40.434 AM 10/12/2016,0.833339,-20.727517,-24.112158,-48.799113,-47.333417,23.084782
1:47:00.434 AM 10/12/2016,0.838895,-21.098120,-24.433902,-48.896102,-47.693044,22.979841
1:47:20.433 AM 10/12/2016,0.844450,-21.509176,-24.874916,-50.979289,-48.819571,22.932342
1:47:40.433 AM 10/12/2016,0.850006,-21.821158,-25.189052,-48.826572,-47.544552,22.969554
1:48:00.433 AM 10/12/2016,0.855561,-22.145316,-25.429693,-48.977570,-47.769283,23.224787
1:48:20.432 AM 10/12/2016,0.861116,-22.544843,-25.874237,-51.064991,-49.098967,23.191524
1:48:40.433 AM 10/12/2016,0.866672,-22.836769,-26.152785,-48.901846,-47.790231,23.132789
1:49:00.433 AM 10/12/2016,0.872228,-23.158330,-26.458558,-49.122758,-48.010067,23.090659
1:49:20.423 AM 10/12/2016,0.877780,-23.550917,-26.869729,-51.239827,-49.095925,23.086210
1:49:40.433 AM 10/12/2016,0.883339,-23.841979,-27.088820,-49.147709,-47.916796,23.091996
1:50:00.432 AM 10/12/2016,0.888894,-24.138332,-27.401024,-49.300522,-48.261918,23.154169
1:50:20.432 AM 10/12/2016,0.894450,-24.530058,-27.733991,-51.316882,-49.189483,23.104958
1:50:40.432 AM 10/12/2016,0.900005,-24.823939,-28.024477,-49.271040,-48.128112,23.077817
1:51:00.434 AM 10/12/2016,0.905561,-25.156749,-28.286097,-49.517716,-48.446819,23.124690
1:51:20.435 AM 10/12/2016,0.911117,-25.492269,-28.666873,-51.510257,-49.371307,23.030101
1:51:40.434 AM 10/12/2016,0.916672,-25.761709,-28.899662,-49.459283,-48.367112,23.056983
1:52:00.419 AM 10/12/2016,0.922224,-26.082657,-29.126950,-49.686911,-48.658536,23.024158
1:52:20.431 AM 10/12/2016,0.927783,-26.390287,-29.483624,-50.486783,-49.113342,23.064972
1:52:40.434 AM 10/12/2016,0.933339,-26.670025,-29.711477,-49.099593,-48.196967,22.994247
1:53:00.440 AM 10/12/2016,0.938896,-26.975962,-30.024707,-50.855412,-49.513922,22.904117
1:53:20.441 AM 10/12/2016,0.944452,-27.274641,-30.301343,-50.861025,-49.382550,22.919344
1:53:40.435 AM 10/12/2016,0.950006,-27.529799,-30.551089,-49.345338,-48.453881,22.927390
1:54:00.435 AM 10/12/2016,0.955562,-27.897704,-30.839813,-51.283105,-49.778658,23.046684
1:54:20.419 AM 10/12/2016,0.961113,-28.152738,-31.115357,-50.138332,-48.964321,22.984568
1:54:40.433 AM 10/12/2016,0.966672,-28.435814,-31.362147,-49.101194,-48.518424,22.974271
1:55:00.432 AM 10/12/2016,0.972228,-28.722085,-31.668013,-51.768725,-50.134017,22.939980
1:55:20.440 AM 10/12/2016,0.977785,-28.983621,-31.851855,-49.746647,-48.860704,22.936884
1:55:40.441 AM 10/12/2016,0.983341,-29.213474,-32.084503,-49.538052,-48.749628,22.820866
1:56:00.431 AM 10/12/2016,0.988894,-29.526644,-32.388558,-52.150848,-50.440339,22.875333
1:56:20.435 AM 10/12/2016,0.994450,-29.755255,-32.614195,-50.033414,-49.161562,22.932796
1:56:40.433 AM 10/12/2016,1.000006,-29.994858,-32.814933,-49.880495,-49.071806,23.048507
1:57:00.433 AM 10/12/2016,1.005561,-30.286731,-33.105149,-51.328273,-49.866097,22.989400
1:57:20.423 AM 10/12/2016,1.011114,-30.494128,-33.272245,-49.782191,-49.015774,23.092234
1:57:40.427 AM 10/12/2016,1.016671,-30.733010,-33.469440,-49.640510,-48.908465,23.231787
1:58:00.434 AM 10/12/2016,1.022228,-31.034104,-33.801651,-52.427296,-50.712783,23.197406
1:58:20.434 AM 10/12/2016,1.027784,-31.252820,-33.968138,-50.351152,-49.443332,23.193036
1:58:40.434 AM 10/12/2016,1.033339,-31.473023,-34.113093,-49.495553,-48.738412,23.185249
1:59:00.418 AM 10/12/2016,1.038890,-31.745789,-34.475834,-52.039950,-50.467335,23.245635
1:59:20.432 AM 10/12/2016,1.044450,-31.939137,-34.611855,-50.216676,-49.309023,23.238272
1:59:40.434 AM 10/12/2016,1.050006,-32.167560,-34.766431,-49.890448,-49.326031,23.230289
