Thermal Cycle Test,Logger Rev-1.0,,,,,
Operator,d gaines,,,,,
Unit,OCU,,,,,
Product Number,1F67700-1,,,,,
Serial Number,34,,,,,
Date,20161018_1715,,,,,
Position,1,,,,,
Units in Chamber,*0034,,,,,
*Thermocouples are placed on this unit,,,,,,
Comments,,,,,,
,,,,,,
Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
02:13.4,0.772223,21.475423,21.798597,14.388746,15.21994,20.685694
02:33.4,0.777779,21.561886,21.901844,16.802309,17.680018,20.570653
02:53.4,0.783335,21.480282,21.870969,17.451328,18.407042,20.609074
03:13.4,0.788892,21.36761,21.735788,14.846255,15.476495,20.597674
03:33.4,0.794446,21.291593,21.610859,12.839731,13.369605,20.45295
03:53.4,0.800001,21.444505,21.815486,17.410491,18.542585,20.570157
04:13.4,0.805557,21.34472,21.718979,15.205161,15.966258,20.709986
04:33.4,0.811112,21.486905,21.822358,17.090862,18.220067,20.641672
04:53.4,0.816668,21.358449,21.772377,15.538192,16.247821,20.761104
05:13.4,0.822224,21.403463,21.697893,14.609296,15.438768,20.646393
05:33.4,0.827787,21.460636,21.860876,17.947297,19.078748,20.658351
05:53.4,0.833334,21.266523,21.67097,15.033475,15.721058,20.597337
06:13.4,0.83889,21.301073,21.620954,14.534009,15.349693,20.595079
06:33.4,0.844446,21.389835,21.850952,18.563547,19.722807,20.634098
06:53.4,0.850001,21.375385,21.774679,16.17332,17.048296,20.784521
07:13.4,0.855557,21.338717,21.698398,14.349661,15.043297,20.622997
07:33.4,0.861111,21.460812,21.889338,18.200686,19.224768,20.576709
07:53.4,0.866667,21.372301,21.795145,15.780074,16.628007,20.731015
08:13.4,0.872222,21.360824,21.752471,14.889808,15.656893,20.636196
08:33.4,0.877777,21.491695,21.937988,18.50152,19.567101,20.426807
08:53.4,0.883334,21.410983,21.8367,16.208855,16.858689,20.356368
09:13.4,0.888889,21.330681,21.77754,15.994575,16.757525,20.497854
09:33.4,0.894444,21.306992,21.689524,14.207695,15.052164,20.531375
09:53.4,0.9,21.461867,21.905234,18.426568,19.562051,20.599213
10:13.4,0.905556,21.372385,21.821918,16.162968,16.974441,20.625492
10:33.4,0.911111,21.40597,21.785508,15.502025,16.354917,20.489149
10:53.4,0.916667,21.527953,21.965968,18.47574,19.588393,20.712583
11:13.4,0.922222,21.579901,21.991833,18.82312,19.903519,20.565505
11:33.4,0.927778,21.529669,21.889861,17.637288,18.510284,20.488871
11:53.4,0.933333,21.505728,21.91042,17.63587,18.431129,20.642529
12:13.4,0.938889,21.410766,21.852675,16.167149,16.791054,20.869687
12:33.4,0.944445,21.326212,21.74348,14.409714,14.86588,21.728837
12:53.4,0.95,21.549657,21.939687,19.173546,20.378091,22.349329
13:13.4,0.955555,21.517054,21.949904,17.413536,18.266665,22.876092
13:33.4,0.961111,21.400405,21.81206,14.640457,15.203521,23.475945
13:53.4,0.966666,21.459497,21.804096,15.409346,16.370762,23.870818
14:13.4,0.972222,21.655467,22.094738,18.626482,19.59826,24.26976
14:33.4,0.977778,21.571588,21.989734,16.5233,17.308455,24.224979
14:53.4,0.983333,21.588093,21.96426,16.575856,17.589359,24.341035
15:13.4,0.988889,21.638686,22.018736,17.113985,18.082977,24.31185
15:33.4,0.994444,21.623248,22.056611,16.835897,17.635241,24.372063
15:53.4,1,21.536592,21.937864,15.255343,15.966608,24.358005
16:13.4,1.005555,21.601473,22.025933,18.117105,19.189508,24.062776
16:33.4,1.011111,21.674092,22.125613,18.416561,19.341653,24.204085
16:53.4,1.016667,21.535004,21.979566,15.626941,16.260924,24.373385
17:13.4,1.022223,21.484927,21.880926,13.658682,14.31635,24.151091
17:33.4,1.027778,21.644526,22.101654,17.965619,19.024233,23.485996
17:53.4,1.033333,21.540943,21.974714,14.878025,15.553184,22.660342
18:13.4,1.038889,21.50149,21.871601,13.562959,14.277611,22.359078
18:33.4,1.044444,21.56456,22.006303,17.134401,18.15195,22.096788
18:53.4,1.05,21.492902,21.941525,16.019311,16.868628,21.696972
19:13.4,1.055556,21.457885,21.879161,14.621171,15.382978,21.40263
19:33.4,1.061111,21.531418,21.938476,14.327571,15.069612,21.556931
19:53.4,1.066667,21.542463,21.857127,13.736979,14.574188,21.295638
20:13.4,1.072222,21.578506,21.933352,15.415559,16.291066,21.316055
20:33.4,1.077778,21.540304,21.95542,16.317573,17.307675,21.252267
20:53.4,1.083333,21.444641,21.793337,13.660186,14.357004,20.923696
21:13.4,1.088889,21.540996,21.931383,16.58129,17.550863,20.904231
21:33.4,1.094444,21.627669,22.01405,17.856675,18.879833,20.799961
21:53.4,1.1,21.599307,21.960428,15.864737,16.577119,20.748106
22:13.4,1.105555,21.549875,21.882141,13.814856,14.348977,20.836323
22:33.4,1.111113,21.637222,21.970343,16.216225,17.053708,20.660885
22:53.4,1.116667,21.652236,21.989439,16.363025,17.136701,20.687402
23:13.4,1.122225,21.568443,21.931051,14.738815,15.268828,20.672529
23:33.4,1.127778,21.545701,21.857211,13.664198,14.245007,20.770447
23:53.4,1.133333,21.565773,21.811482,13.36436,14.053303,20.844071
24:13.4,1.138889,21.514836,21.833251,14.831518,15.661685,20.762162
24:33.4,1.144444,21.440289,21.80089,15.023287,15.83389,20.630969
24:53.4,1.15,21.481417,21.807842,14.716287,15.773479,20.677247
25:13.4,1.155555,21.525041,21.922078,16.844875,17.800345,20.690182
25:33.4,1.161111,21.409465,21.773514,13.352138,13.867551,20.540715
25:53.4,1.166667,21.477431,21.803292,14.130688,15.040475,20.616502
26:13.4,1.172222,21.47751,21.896276,15.84501,16.66511,20.53677
26:33.4,1.177778,21.568088,21.954077,16.587767,17.666009,20.538977
26:53.4,1.183333,21.585013,21.909194,15.402183,16.383963,20.73842
27:13.4,1.188889,21.654797,22.08169,17.830569,18.830233,20.678448
27:33.4,1.194444,21.620483,22.02217,15.843549,16.608168,20.626834
27:53.4,1.199999,21.486068,21.830168,12.392577,12.895819,20.717476
28:13.4,1.205555,21.645554,21.965028,15.983807,16.971786,20.877131
28:33.4,1.211112,21.557736,21.908174,14.84687,15.490023,20.967287
28:53.4,1.216667,21.499275,21.824844,13.30347,13.963524,20.79618
29:13.4,1.222222,21.536231,21.904273,16.714689,17.920642,20.759347
29:33.4,1.227777,21.465417,21.900897,16.59781,17.53761,20.730886
29:53.4,1.233333,21.460998,21.864378,15.133938,15.956923,20.992602
30:13.4,1.238889,21.423315,21.791606,13.425155,14.154051,21.054137
30:33.4,1.244445,21.545965,21.991641,17.425055,18.509493,21.050274
30:53.4,1.25,21.465162,21.891359,15.103131,15.825933,20.925725
