Thermal Cycle Test,Logger Rev-1.0
Operator,D. Gaines
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161005_2133
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
10:01:38.400 PM 10/5/2016,0.461109,22.365066,20.268302,6.681947,4.310468,19.747017
10:01:58.401 PM 10/5/2016,0.466665,22.094982,20.299093,7.197663,5.359772,19.868316
10:02:18.400 PM 10/5/2016,0.472221,21.842913,20.345078,7.563219,6.259610,19.923923
10:02:38.399 PM 10/5/2016,0.477776,21.491657,20.399516,3.930807,2.548150,19.986235
10:02:58.401 PM 10/5/2016,0.483332,21.025950,20.425245,0.570678,-1.013524,20.058947
10:03:18.401 PM 10/5/2016,0.488887,20.559444,20.348249,1.546222,0.251446,20.080411
10:03:38.400 PM 10/5/2016,0.494443,20.467845,20.471227,9.965321,10.112823,20.182006
10:03:58.400 PM 10/5/2016,0.499998,20.489918,20.621001,16.348149,17.543736,20.427597
10:04:18.401 PM 10/5/2016,0.505554,20.615940,20.595118,21.415133,23.256848,20.316034
10:04:38.399 PM 10/5/2016,0.511109,20.758486,20.704837,23.803498,25.590612,20.440479
10:04:58.401 PM 10/5/2016,0.516665,20.870937,20.737991,24.499186,26.088030,20.447183
10:05:18.400 PM 10/5/2016,0.522221,21.061563,20.772776,25.484493,26.839494,20.427881
10:05:38.400 PM 10/5/2016,0.527776,21.216328,20.886514,25.857630,27.108758,20.542971
10:05:58.401 PM 10/5/2016,0.533332,21.377576,20.946258,25.903533,26.868005,20.640190
10:06:18.400 PM 10/5/2016,0.538887,21.454069,20.959480,23.598380,24.079757,20.572469
10:06:38.401 PM 10/5/2016,0.544443,21.550506,20.972111,24.861135,25.479424,20.552826
10:06:58.400 PM 10/5/2016,0.549998,21.673781,20.991294,23.416871,23.791259,20.539032
10:07:18.399 PM 10/5/2016,0.555554,21.535034,20.907204,20.458862,20.266621,20.452217
10:07:38.401 PM 10/5/2016,0.561110,21.657574,20.916284,22.770854,23.152942,20.423810
10:07:58.401 PM 10/5/2016,0.566665,21.721695,20.995505,20.464793,20.503264,20.457614
10:08:18.400 PM 10/5/2016,0.572221,21.732893,20.895802,19.110113,19.207324,20.296513
10:08:38.401 PM 10/5/2016,0.577776,21.780964,20.880832,19.381606,19.425355,20.257431
10:08:58.400 PM 10/5/2016,0.583332,21.786759,20.959591,20.124156,20.380920,20.339854
10:09:18.400 PM 10/5/2016,0.588887,21.730603,20.895108,15.273004,15.010744,20.252631
10:09:38.401 PM 10/5/2016,0.594443,21.680667,20.943238,15.294159,14.902206,20.333074
10:09:58.400 PM 10/5/2016,0.599998,21.705121,20.892812,17.659358,17.958103,20.286547
10:10:18.400 PM 10/5/2016,0.605554,21.662240,20.804766,16.280977,16.287785,20.078452
10:10:38.399 PM 10/5/2016,0.611109,21.693533,20.743852,20.704631,21.516740,20.065335
10:10:58.400 PM 10/5/2016,0.616665,21.704058,20.758857,19.174981,19.699853,20.090794
10:11:18.400 PM 10/5/2016,0.622221,21.654254,20.812104,16.834952,17.069606,20.198481
10:11:38.399 PM 10/5/2016,0.627776,21.756659,20.793825,20.065740,20.591169,20.120804
10:11:58.401 PM 10/5/2016,0.633332,21.735233,20.752653,17.093329,17.532132,20.084712
10:12:18.400 PM 10/5/2016,0.638887,21.766873,20.769138,19.278559,19.648885,20.141858
10:12:38.408 PM 10/5/2016,0.644445,21.730195,20.792658,17.035286,17.115226,20.134988
10:12:58.401 PM 10/5/2016,0.649999,21.724730,20.735809,15.356347,15.554252,20.090585
10:13:18.400 PM 10/5/2016,0.655554,21.765899,20.820178,18.665345,19.031784,20.167386
10:13:38.400 PM 10/5/2016,0.661109,21.830428,20.749445,21.450372,22.337702,20.137826
10:13:58.399 PM 10/5/2016,0.666665,21.704683,20.699197,16.221250,16.293328,20.076781
10:14:18.399 PM 10/5/2016,0.672220,21.763926,20.716535,18.910091,19.300592,20.164321
10:14:38.400 PM 10/5/2016,0.677776,21.726371,20.781937,16.979236,17.328569,20.276722
10:14:58.400 PM 10/5/2016,0.683332,21.756432,20.687059,17.726788,18.108696,20.120964
10:15:18.401 PM 10/5/2016,0.688887,21.712446,20.694955,15.640795,15.794927,20.085335
10:15:38.401 PM 10/5/2016,0.694443,21.632591,20.725344,13.831385,13.595974,20.156169
10:15:58.400 PM 10/5/2016,0.699998,21.729369,20.770902,19.927759,20.680247,20.242932
10:16:18.399 PM 10/5/2016,0.705554,21.792513,20.767853,18.017008,18.609214,20.171325
10:16:38.400 PM 10/5/2016,0.711110,21.829424,20.900001,18.658400,19.271636,20.280544
10:16:58.400 PM 10/5/2016,0.716665,21.716897,20.758683,16.187618,16.439722,20.121825
10:17:18.400 PM 10/5/2016,0.722220,21.737685,20.759717,17.185766,17.534479,20.147599
10:17:38.399 PM 10/5/2016,0.727776,21.794363,20.735700,18.781087,19.396062,20.074871
10:17:58.401 PM 10/5/2016,0.733332,21.789761,20.727328,18.545937,19.046110,20.188430
10:18:18.400 PM 10/5/2016,0.738887,21.858163,20.765778,20.501158,21.239291,20.163982
10:18:38.400 PM 10/5/2016,0.744443,21.755596,20.703585,15.533076,15.366097,20.042684
10:18:58.399 PM 10/5/2016,0.749998,21.741508,20.741482,14.816381,14.674346,20.106510
10:19:18.402 PM 10/5/2016,0.755555,21.757477,20.754155,17.007791,17.403356,20.177375
10:19:38.402 PM 10/5/2016,0.761110,21.823204,20.822966,18.203084,18.835632,20.250181
10:19:58.400 PM 10/5/2016,0.766665,21.724740,20.713564,14.741463,14.977266,20.112182
10:20:18.401 PM 10/5/2016,0.772221,21.722613,20.753968,16.865602,17.167280,20.133317
10:20:38.401 PM 10/5/2016,0.777776,21.727776,20.738404,16.271251,16.749383,20.159821
10:20:58.400 PM 10/5/2016,0.783332,21.692119,20.782578,16.601342,16.831791,20.247269
10:21:18.399 PM 10/5/2016,0.788887,21.758910,20.748962,18.750655,19.352911,20.201426
10:21:38.399 PM 10/5/2016,0.794443,21.685611,20.788493,14.670492,14.825004,20.298451
10:21:58.401 PM 10/5/2016,0.799999,21.726392,20.872680,17.587688,18.072123,20.344207
10:22:18.401 PM 10/5/2016,0.805554,21.758837,20.903313,17.787888,18.357157,20.374188
10:22:38.400 PM 10/5/2016,0.811109,21.788525,20.923014,18.780935,19.467964,20.442122
10:22:58.400 PM 10/5/2016,0.816665,21.828319,21.006996,17.912021,18.379263,20.500746
10:23:18.400 PM 10/5/2016,0.822221,21.774435,21.005867,15.749197,16.045660,20.520381
10:23:38.400 PM 10/5/2016,0.827776,21.817854,21.035680,19.009938,19.722033,20.555938
10:23:58.400 PM 10/5/2016,0.833332,21.859718,21.029454,20.824014,21.823561,20.589776
10:24:18.400 PM 10/5/2016,0.838887,21.777073,21.015471,17.349487,17.689038,20.539930
10:24:38.400 PM 10/5/2016,0.844443,21.799845,21.110604,18.249094,18.750622,20.647235
10:24:58.401 PM 10/5/2016,0.849999,21.787516,21.144691,17.790252,18.199821,20.654710
10:25:18.401 PM 10/5/2016,0.855554,21.709076,21.153526,15.177371,15.241837,20.714345
10:25:38.400 PM 10/5/2016,0.861110,21.779956,21.221404,18.143813,18.737817,20.710999
10:25:58.400 PM 10/5/2016,0.866665,21.717296,21.301252,15.489446,15.713237,20.779813
10:26:18.399 PM 10/5/2016,0.872220,21.731662,21.309546,16.388224,16.694428,20.794352
10:26:38.400 PM 10/5/2016,0.877776,21.776612,21.415046,17.487326,18.187848,20.912708
10:26:58.401 PM 10/5/2016,0.883332,21.786163,21.464825,17.135812,17.709071,21.039689
10:27:18.401 PM 10/5/2016,0.888888,21.820603,21.500386,18.873293,19.538181,21.019078
10:27:38.402 PM 10/5/2016,0.894443,21.711382,21.563327,14.515918,14.572717,21.079468
10:27:58.400 PM 10/5/2016,0.899998,21.795490,21.574648,18.360011,18.964705,21.108858
10:28:18.401 PM 10/5/2016,0.905554,21.801824,21.606738,17.561007,18.178560,21.105776
10:28:38.399 PM 10/5/2016,0.911109,21.763903,21.681278,16.827003,17.082333,21.213202
10:28:58.401 PM 10/5/2016,0.916665,21.659526,21.632062,15.072293,15.183997,21.171298
10:29:18.401 PM 10/5/2016,0.922221,21.771684,21.661766,20.096062,20.975829,21.190092
10:29:38.402 PM 10/5/2016,0.927777,21.781842,21.656176,18.437875,19.092015,21.095404
10:29:58.400 PM 10/5/2016,0.933332,21.825201,21.705713,18.419459,18.972994,21.140068
10:30:18.399 PM 10/5/2016,0.938887,21.823210,21.672719,17.211687,17.650792,21.090399
10:30:38.400 PM 10/5/2016,0.944443,21.767930,21.671601,15.530797,15.792939,21.054034
10:30:58.398 PM 10/5/2016,0.949998,21.779177,21.616588,17.131756,17.522894,20.880615
10:31:18.400 PM 10/5/2016,0.955554,21.859774,21.694543,19.449655,20.170994,21.035229
10:31:38.401 PM 10/5/2016,0.961110,21.802428,21.651707,16.411188,16.492741,20.993030
10:31:58.401 PM 10/5/2016,0.966665,21.695009,21.667530,13.251506,13.092961,20.986540
10:32:18.400 PM 10/5/2016,0.972221,21.750128,21.624030,16.657203,17.067173,20.979553
10:32:38.400 PM 10/5/2016,0.977776,21.736429,21.587607,16.549999,17.054236,20.782757
10:32:58.399 PM 10/5/2016,0.983332,21.747560,21.613771,17.005544,17.486616,20.920701
10:33:18.399 PM 10/5/2016,0.988887,21.699979,21.624098,14.533888,14.627966,21.006807
10:33:38.401 PM 10/5/2016,0.994443,21.757796,21.584979,17.958423,18.457780,20.951531
10:33:58.400 PM 10/5/2016,0.999998,21.793630,21.619718,17.017470,17.580540,20.927767
10:34:18.400 PM 10/5/2016,1.005554,21.769261,21.606025,16.136558,16.333027,20.905424
10:34:38.401 PM 10/5/2016,1.011110,21.775544,21.551847,15.944605,16.385124,20.704164
10:34:58.400 PM 10/5/2016,1.016665,21.793168,21.609534,17.080593,17.634885,20.808140
10:35:18.400 PM 10/5/2016,1.022221,21.824036,21.479716,18.507166,19.203224,20.741490
10:35:38.400 PM 10/5/2016,1.027776,21.823435,21.489886,17.297179,17.792622,20.706136
10:35:58.401 PM 10/5/2016,1.033332,21.809902,21.458557,17.669624,18.244296,20.724570
10:36:18.401 PM 10/5/2016,1.038887,21.732185,21.424952,15.135206,15.234624,20.711362
10:36:38.400 PM 10/5/2016,1.044443,21.798307,21.351645,18.274268,18.757984,20.655094
10:36:58.400 PM 10/5/2016,1.049998,21.675848,21.319692,13.475572,13.389708,20.491855
10:37:18.399 PM 10/5/2016,1.055554,21.711967,21.310181,16.889456,17.299137,20.526292
10:37:38.400 PM 10/5/2016,1.061110,21.778278,21.311833,18.482496,19.366603,20.593687
10:37:58.399 PM 10/5/2016,1.066665,21.756647,21.229287,16.494712,16.941727,20.506747
10:38:18.400 PM 10/5/2016,1.072220,21.809522,21.223137,18.436396,19.057785,20.528181
10:38:38.401 PM 10/5/2016,1.077776,21.767714,21.219692,15.190548,15.403562,20.496632
10:38:58.400 PM 10/5/2016,1.083332,21.770133,21.235487,16.841910,17.267512,20.559290
10:39:18.400 PM 10/5/2016,1.088887,21.770104,21.212851,16.114716,16.472436,20.588412
10:39:38.399 PM 10/5/2016,1.094443,21.812847,21.183923,17.240185,17.791915,20.523172
10:39:58.400 PM 10/5/2016,1.099998,21.768514,21.110971,15.277582,15.598575,20.487897
10:40:18.400 PM 10/5/2016,1.105554,21.719000,21.168345,14.471565,14.494797,20.602962
10:40:38.401 PM 10/5/2016,1.111110,21.711195,21.126268,13.803637,14.008812,20.483306
10:40:58.401 PM 10/5/2016,1.116665,21.726648,21.173244,16.028402,16.389867,20.544616
10:41:18.401 PM 10/5/2016,1.122221,21.753641,21.189581,15.505127,15.941033,20.535957
10:41:38.400 PM 10/5/2016,1.127776,21.802384,21.138351,16.949861,17.604460,20.497474
10:41:58.400 PM 10/5/2016,1.133332,21.815018,21.132177,16.714806,17.440908,20.508705
10:42:18.401 PM 10/5/2016,1.138888,21.869826,21.162312,17.744513,18.356857,20.527804
10:42:38.400 PM 10/5/2016,1.144443,21.833664,21.160693,15.593042,16.022243,20.582446
10:42:58.401 PM 10/5/2016,1.149999,21.810126,21.155021,14.880311,15.156331,20.554042
10:43:18.401 PM 10/5/2016,1.155554,21.894229,21.128625,18.477560,19.236311,20.456091
10:43:38.400 PM 10/5/2016,1.161109,21.867025,21.093274,15.368760,15.737845,20.342550
10:43:58.401 PM 10/5/2016,1.166665,21.871407,21.128301,16.209421,16.720618,20.463089
10:44:18.399 PM 10/5/2016,1.172220,21.871754,21.113949,16.672336,17.123446,20.420916
10:44:38.422 PM 10/5/2016,1.177782,21.833507,21.088160,14.478365,14.596099,20.432417
10:44:58.400 PM 10/5/2016,1.183332,21.881325,21.122281,17.314809,17.821713,20.593679
10:45:18.400 PM 10/5/2016,1.188887,21.873391,21.245055,16.076408,16.644015,20.632502
10:45:38.401 PM 10/5/2016,1.194443,21.852298,21.211401,15.599726,15.986818,20.655634
10:45:58.400 PM 10/5/2016,1.199998,21.868966,21.240890,15.853308,16.274674,20.690013
10:46:18.400 PM 10/5/2016,1.205554,21.804550,21.198032,13.666805,13.598065,20.614799
10:46:38.399 PM 10/5/2016,1.211109,21.876048,21.123260,18.498857,19.371571,20.492432
10:46:58.400 PM 10/5/2016,1.216665,21.808288,21.143080,16.021174,16.624272,20.410848
10:47:18.400 PM 10/5/2016,1.222220,21.831340,21.127368,16.935424,17.448076,20.481849
10:47:38.400 PM 10/5/2016,1.227776,21.755850,21.103197,15.435640,15.822780,20.514579
10:47:58.401 PM 10/5/2016,1.233332,21.695219,21.121370,13.767031,13.980927,20.559725
10:48:18.400 PM 10/5/2016,1.238887,21.760401,21.084481,18.229311,19.036368,20.415455
10:48:38.402 PM 10/5/2016,1.244443,21.791695,21.066339,18.496339,19.458189,20.433386
10:48:58.400 PM 10/5/2016,1.249998,21.723141,21.051532,15.006692,15.266563,20.480223
10:49:18.399 PM 10/5/2016,1.255554,21.758447,21.079238,15.837671,16.354198,20.520076
10:49:38.400 PM 10/5/2016,1.261109,21.743055,21.075641,14.192302,14.483296,20.519944
10:49:58.401 PM 10/5/2016,1.266665,21.744264,21.101868,16.192816,16.602668,20.458736
10:50:18.423 PM 10/5/2016,1.272227,21.768295,21.035507,16.563406,17.147825,20.436256
10:50:38.400 PM 10/5/2016,1.277776,21.760164,21.099227,15.029103,15.347938,20.502309
10:50:58.401 PM 10/5/2016,1.283332,21.715590,21.038166,14.539590,14.861970,20.425683
10:51:18.399 PM 10/5/2016,1.288887,21.712063,20.991900,15.552477,16.113570,20.314651
10:51:38.400 PM 10/5/2016,1.294443,21.708776,21.083428,15.744444,16.071557,20.494353
10:51:58.400 PM 10/5/2016,1.299998,21.820311,21.111753,19.048951,20.001230,20.597526
10:52:18.401 PM 10/5/2016,1.305554,21.760920,21.134323,15.040802,15.297999,20.633066
10:52:38.401 PM 10/5/2016,1.311110,21.809665,21.115048,17.795216,18.507304,20.540995
10:52:58.400 PM 10/5/2016,1.316665,21.719219,21.121932,13.532966,13.455435,20.515301
10:53:18.399 PM 10/5/2016,1.322220,21.804234,21.162985,17.968180,18.660669,20.646868
10:53:38.400 PM 10/5/2016,1.327776,21.774174,21.145979,15.991024,16.357486,20.674822
10:53:58.399 PM 10/5/2016,1.333332,21.816364,21.244111,17.094818,17.691984,20.790671
10:54:18.400 PM 10/5/2016,1.338887,21.775065,21.304852,15.355610,15.813299,20.874084
10:54:38.401 PM 10/5/2016,1.344443,21.820294,21.337655,16.745652,17.303547,20.878649
10:54:58.400 PM 10/5/2016,1.349998,21.803769,21.377601,15.549610,16.006985,20.968045
10:55:18.401 PM 10/5/2016,1.355554,21.838856,21.448315,16.106132,16.832600,21.100347
10:55:38.400 PM 10/5/2016,1.361110,21.795048,21.500107,15.472941,15.719491,21.063870
10:55:58.401 PM 10/5/2016,1.366665,21.755238,21.512468,14.390742,14.597104,21.031457
10:56:18.401 PM 10/5/2016,1.372221,21.757137,21.544657,14.869913,15.064283,21.133693
10:56:38.401 PM 10/5/2016,1.377776,21.727829,21.562204,15.213107,15.835410,21.165523
10:56:58.400 PM 10/5/2016,1.383332,21.797044,21.656613,17.227817,17.821567,21.194193
10:57:18.401 PM 10/5/2016,1.388887,21.750715,21.698947,12.901055,13.093115,21.259419
10:57:38.400 PM 10/5/2016,1.394443,21.806034,21.688031,16.611133,17.080627,21.204392
10:57:58.399 PM 10/5/2016,1.399998,21.829098,21.745759,16.862010,17.628829,21.211604
10:58:18.400 PM 10/5/2016,1.405554,21.782476,21.807232,14.219811,14.358218,21.339641
10:58:38.400 PM 10/5/2016,1.411110,21.850859,21.816582,17.821354,18.591250,21.357756
10:58:58.400 PM 10/5/2016,1.416665,21.846672,21.842583,16.232838,16.876576,21.319445
10:59:18.400 PM 10/5/2016,1.422221,21.820707,21.920975,15.237121,15.610869,21.383763
10:59:38.401 PM 10/5/2016,1.427776,21.825288,21.908855,16.970581,17.563526,21.454799
10:59:58.403 PM 10/5/2016,1.433333,21.822166,21.934595,15.545365,16.051186,21.410163
11:00:18.400 PM 10/5/2016,1.438887,21.861067,21.965263,17.641198,18.208466,21.412711
11:00:38.399 PM 10/5/2016,1.444443,21.814466,22.006820,14.378882,14.817474,21.438682
11:00:58.399 PM 10/5/2016,1.449998,21.798292,22.017503,15.532663,15.778327,21.429555
11:01:18.401 PM 10/5/2016,1.455554,21.857772,22.013754,17.843491,18.499599,21.472363
11:01:38.399 PM 10/5/2016,1.461109,21.888796,21.961266,17.784952,18.396271,21.365272
11:01:58.402 PM 10/5/2016,1.466666,21.924323,22.086752,18.355354,19.012265,21.444620
